Set,scrapydocs.rev_role,rev_role,scrapydocs.rev_role.node,node
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\extras\qps-bench-server.py,qps-bench-server.py,qps-bench-server.Root,Root
Call,qps-bench-server.Root.__init__,__init__,qps-bench-server.Root._reset_stats,_reset_stats
Call,qps-bench-server.Root.render,render,qps-bench-server.Root._reset_stats,_reset_stats
Use,qps-bench-server.Root.render,render,request,request
Use,qps-bench-server.Root.render,render,qps-bench-server.Root.render.now,now
Use,qps-bench-server.Root.render,render,qps-bench-server.Root.render.delta,delta
Use,qps-bench-server.Root.render,render,qps-bench-server.Root.render.qps,qps
Use,qps-bench-server.Root.render,render,qps-bench-server.Root.render.latency,latency
Use,qps-bench-server.Root.render,render,qps-bench-server.Root._finish,_finish
Use,qps-bench-server.Root.render,render,qps-bench-server.Root.concurrent,concurrent
Use,qps-bench-server.Root.render,render,qps-bench-server.Root.tail,tail
Set,qps-bench-server.Root.render,render,qps-bench-server.Root.render.now,now
Set,qps-bench-server.Root.render,render,qps-bench-server.Root.render.delta,delta
Set,qps-bench-server.Root.render,render,qps-bench-server.Root.render.qps,qps
Set,qps-bench-server.Root.render,render,qps-bench-server.Root.render.latency,latency
Set,qps-bench-server.Root.render,render,qps-bench-server.Root.concurrent,concurrent
Set,qps-bench-server.Root._finish,_finish,qps-bench-server.Root.concurrent,concurrent
Use,qpsclient.QPSSpider.__init__,__init__,qpsclient.QPSSpider.qps,qps
Use,qpsclient.QPSSpider.__init__,__init__,qpsclient.QPSSpider.download_delay,download_delay
Use,qpsclient.QPSSpider.__init__,__init__,a,a
Use,qpsclient.QPSSpider.__init__,__init__,kw,kw
Use,qpsclient.QPSSpider.__init__,__init__,qpsclient.QPSSpider,QPSSpider
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.urls,urls
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.idx,idx
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.latency,latency
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.slots,slots
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.url,url
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.benchurl,benchurl
Use,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.slots,slots
Set,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.urls,urls
Set,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.idx,idx
Set,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.url,url
Set,qpsclient.QPSSpider.start_requests,start_requests,qpsclient.QPSSpider.start_requests.slots,slots
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy,scrapy
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.crawler.CrawlerProcess,CrawlerProcess
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.exceptions.UsageError,UsageError
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.utils.misc.walk_modules,walk_modules
