Import,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench.py,bench.py,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\src\pytest.py,pytest.py
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench.py,bench.py,bench.__main__.script,script
Set,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench.py,bench.py,bench.__main__.script,script
Set,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench.py,bench.py,bench.__main__.stats,stats
Set,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench.py,bench.py,bench.__main__.p,p
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench_argcomplete.py,bench_argcomplete.py,bench_argcomplete.count,count
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench_argcomplete.py,bench_argcomplete.py,bench_argcomplete.setup,setup
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench_argcomplete.py,bench_argcomplete.py,bench_argcomplete.run,run
Import,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\manyparam.py,manyparam.py,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\src\pytest.py,pytest.py
Import,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\skip.py,skip.py,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\src\pytest.py,pytest.py
Call,skip.test_foo,test_foo,_pytest.outcomes.skip,skip
Use,skip.test_foo,test_foo,skip.SKIP,SKIP
Import,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\doc\en\example\assertion\failure_demo.py,failure_demo.py,_pytest._code,_code
Use,failure_demo.otherfunc,otherfunc,a,a
Use,failure_demo.otherfunc,otherfunc,b,b
Call,failure_demo.somefunc,somefunc,failure_demo.otherfunc,otherfunc
Use,failure_demo.somefunc,somefunc,x,x
Use,failure_demo.somefunc,somefunc,y,y
Use,failure_demo.otherfunc_multi,otherfunc_multi,a,a
Use,failure_demo.otherfunc_multi,otherfunc_multi,b,b
Use,failure_demo.test_generative,test_generative,param1,param1
Use,failure_demo.test_generative,test_generative,param2,param2
Call,failure_demo.TestFailing.test_simple,test_simple,failure_demo.TestFailing.test_simple.f,f
Call,failure_demo.TestFailing.test_simple,test_simple,failure_demo.TestFailing.test_simple.g,g
Call,failure_demo.TestFailing.test_simple_multiline,test_simple_multiline,failure_demo.otherfunc_multi,otherfunc_multi
Call,failure_demo.TestFailing.test_not,test_not,failure_demo.TestFailing.test_not.f,f
Use,failure_demo.TestSpecialisedExplanations.test_eq_long_text,test_eq_long_text,failure_demo.TestSpecialisedExplanations.test_eq_long_text.a,a
Use,failure_demo.TestSpecialisedExplanations.test_eq_long_text,test_eq_long_text,failure_demo.TestSpecialisedExplanations.test_eq_long_text.b,b
Set,failure_demo.TestSpecialisedExplanations.test_eq_long_text,test_eq_long_text,failure_demo.TestSpecialisedExplanations.test_eq_long_text.a,a
Set,failure_demo.TestSpecialisedExplanations.test_eq_long_text,test_eq_long_text,failure_demo.TestSpecialisedExplanations.test_eq_long_text.b,b
Use,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline,test_eq_long_text_multiline,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline.a,a
Use,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline,test_eq_long_text_multiline,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline.b,b
Set,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline,test_eq_long_text_multiline,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline.a,a
Set,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline,test_eq_long_text_multiline,failure_demo.TestSpecialisedExplanations.test_eq_long_text_multiline.b,b
Use,failure_demo.TestSpecialisedExplanations.test_eq_list_long,test_eq_list_long,failure_demo.TestSpecialisedExplanations.test_eq_list_long.a,a
Use,failure_demo.TestSpecialisedExplanations.test_eq_list_long,test_eq_list_long,failure_demo.TestSpecialisedExplanations.test_eq_list_long.b,b
Set,failure_demo.TestSpecialisedExplanations.test_eq_list_long,test_eq_list_long,failure_demo.TestSpecialisedExplanations.test_eq_list_long.a,a
Set,failure_demo.TestSpecialisedExplanations.test_eq_list_long,test_eq_list_long,failure_demo.TestSpecialisedExplanations.test_eq_list_long.b,b
Use,failure_demo.TestSpecialisedExplanations.test_not_in_text_multiline,test_not_in_text_multiline,failure_demo.TestSpecialisedExplanations.test_not_in_text_multiline.text,text
Set,failure_demo.TestSpecialisedExplanations.test_not_in_text_multiline,test_not_in_text_multiline,failure_demo.TestSpecialisedExplanations.test_not_in_text_multiline.text,text
Use,failure_demo.TestSpecialisedExplanations.test_not_in_text_single,test_not_in_text_single,failure_demo.TestSpecialisedExplanations.test_not_in_text_single.text,text
Set,failure_demo.TestSpecialisedExplanations.test_not_in_text_single,test_not_in_text_single,failure_demo.TestSpecialisedExplanations.test_not_in_text_single.text,text
Use,failure_demo.TestSpecialisedExplanations.test_not_in_text_single_long,test_not_in_text_single_long,failure_demo.TestSpecialisedExplanations.test_not_in_text_single_long.text,text
Set,failure_demo.TestSpecialisedExplanations.test_not_in_text_single_long,test_not_in_text_single_long,failure_demo.TestSpecialisedExplanations.test_not_in_text_single_long.text,text
Use,failure_demo.TestSpecialisedExplanations.test_not_in_text_single_long_term,test_not_in_text_single_long_term,failure_demo.TestSpecialisedExplanations.test_not_in_text_single_long_term.text,text
