Id,Label,Type,Parent
8486,Next,function,8422
16680,ToCSS,function,16625
8489,First,function,8422
300,TestCommandsPersistentFlags,function,292
8492,Last,function,8422
8495,Pagers,function,8444
8498,PageSize,function,8444
16691,PostCSS,function,16625
8501,TotalPages,function,8444
8504,TotalNumberOfElements,function,8444
313,github.com/gohugoio/hugo/commands/config.go,file,77
8507,splitPages,function,8419
16700,resolveIfFirstArgIsString,function,16625
316,configCmd,class,313
317,newConfigCmd,function,313
320,printConfig,function,316
8515,splitPageGroups,function,8419
16710,resolveArgs,function,16625
8521,keyPage,class,-1
331,github.com/gohugoio/hugo/commands/convert.go,file,77
336,convertCmd,class,331
337,newConvertCmd,function,331
16722,safe,folder,-1
16723,github.com/gohugoio/hugo/tpl/safe/init.go,file,16722
340,convertContents,function,336
8533,Paginator,function,5489
16725,init,function,16723
16729,github.com/gohugoio/hugo/tpl/safe/init_test.go,file,16722
8538,Paginator,function,7807
16730,TestInit,function,16729
16734,github.com/gohugoio/hugo/tpl/safe/safe.go,file,16722
351,convertAndSavePage,function,336
16735,New,function,16734
16737,Namespace,class,16734
16738,CSS,function,16737
8549,Paginate,function,5489
16745,HTML,function,16737
8555,Paginate,function,7807
16752,HTMLAttr,function,16737
369,github.com/gohugoio/hugo/commands/env.go,file,77
372,envCmd,class,369
373,newEnvCmd,function,369
8567,resolvePagerSize,function,8419
16759,JS,function,16737
375,github.com/gohugoio/hugo/commands/gen.go,file,77
378,genCmd,class,375
379,newGenCmd,function,375
8574,paginatePages,function,8419
16766,JSStr,function,16737
382,github.com/gohugoio/hugo/commands/genautocomplete.go,file,77
387,genautocompleteCmd,class,382
388,newGenautocompleteCmd,function,382
16773,URL,function,16737
392,github.com/gohugoio/hugo/commands/genchromastyles.go,file,77
8587,toPages,function,8419
16780,SanitizeURL,function,16737
398,genChromaStyles,class,392
399,createGenChromaStyles,function,392
8591,probablyEqualPageLists,function,8419
402,generate,function,398
16787,github.com/gohugoio/hugo/tpl/safe/safe_test.go,file,16722
16788,tstNoStringer,class,16787
16789,TestCSS,function,16787
409,github.com/gohugoio/hugo/commands/gendoc.go,file,77
8604,newPaginatorFromPages,function,8419
16797,TestHTML,function,16787
413,genDocCmd,class,409
414,newGenDocCmd,function,409
8611,newPaginatorFromPageGroups,function,8419
16805,TestHTMLAttr,function,16787
8618,newPaginator,function,8419
427,github.com/gohugoio/hugo/commands/gendocshelper.go,file,77
16813,TestJS,function,16787
431,genDocsHelper,class,427
432,createGenDocsHelper,function,427
435,generate,function,431
8627,newPaginationURLFactory,function,8419
16821,TestJSStr,function,16787
8634,github.com/gohugoio/hugo/hugolib/pagination_test.go,file,4015
8635,TestSplitPages,function,8634
443,github.com/gohugoio/hugo/commands/genman.go,file,77
16829,TestURL,function,16787
447,genManCmd,class,443
448,newGenManCmd,function,443
8642,TestSplitPageGroups,function,8634
16837,TestSanitizeURL,function,16787
454,github.com/gohugoio/hugo/commands/helpers.go,file,77
456,flagsToConfigHandler,class,454
459,cmder,class,454
16845,strings,folder,-1
8654,TestPager,function,8634
462,commandError,class,454
16846,github.com/gohugoio/hugo/tpl/strings/init.go,file,16845
463,Error,function,462
16848,init,function,16846
466,isUserError,function,462
16852,github.com/gohugoio/hugo/tpl/strings/init_test.go,file,16845
469,newUserError,function,454
16853,TestInit,function,16852
8663,doTestPages,function,8634
472,newSystemError,function,454
16857,github.com/gohugoio/hugo/tpl/strings/regexp.go,file,16845
16858,FindRE,function,16924
475,newSystemErrorF,function,454
8670,TestPagerNoPages,function,8634
480,isUserError,function,454
485,github.com/gohugoio/hugo/commands/helpers_others.go,file,77
8678,doTestPagerNoPages,function,8634
16871,ReplaceRE,function,16924
490,github.com/gohugoio/hugo/commands/helpers_windows.go,file,77
8683,TestPaginationURLFactory,function,8634
495,github.com/gohugoio/hugo/commands/hugo.go,file,77
499,Response,class,495
500,IsUserError,function,499
8693,TestPaginator,function,8634
503,Execute,function,495
8695,doTestPaginator,function,8634
16888,regexpCache,class,16857
16889,Get,function,16888
16895,get,function,16888
512,initializeConfig,function,495
16900,set,function,16888
8712,TestPaginatorWithNegativePaginate,function,8634
16905,github.com/gohugoio/hugo/tpl/strings/regexp_test.go,file,16845
522,createLogger,function,138
16906,TestFindRE,function,16905
8716,TestPaginate,function,8634
16909,TestReplaceRE,function,16905
8718,TestPaginatorURL,function,8634
16916,github.com/gohugoio/hugo/tpl/strings/strings.go,file,16845
533,initializeFlags,function,495
16917,New,function,16916
8726,doTestPaginate,function,8634
539,setValueFromFlag,function,495
16924,Namespace,class,16916
16925,CountRunes,function,16924
8740,TestInvalidOptions,function,8634
549,fullBuild,function,138
16933,RuneCount,function,16924
8744,TestPaginateWithNegativePaginate,function,8634
16940,CountWords,function,16924
8751,TestPaginatePages,function,8634
564,build,function,138
16949,Chomp,function,16924
8758,TestPaginatorFollowedByPaginateShouldFail,function,8634
8763,TestPaginateFollowedByDifferentPaginateShouldFail,function,8634
573,serverBuild,function,138
16957,Contains,function,16924
577,copyStatic,function,138
8770,TestProbablyEqualPageLists,function,8634
581,doWithPublishDirs,function,138
16967,ContainsAny,function,16924
8779,TestPage,function,8634
16977,HasPrefix,function,16924
593,countingStatFs,class,495
594,Stat,function,593
601,copyStaticTo,function,138
8793,createTestPages,function,8634
16987,HasSuffix,function,16924
8801,paths,folder,-1
8802,github.com/gohugoio/hugo/hugolib/paths/baseURL.go,file,8801
611,firstPathSpec,function,138
16997,Replace,function,16924
8805,BaseURL,class,8802
614,timeTrack,function,138
8806,String,function,8805
8809,Path,function,8805
619,getDirList,function,138
8812,HostURL,function,8805
8815,WithProtocol,function,8805
17010,SliceString,function,16924
8824,URL,function,8805
634,resetAndBuildSites,function,138
8828,newBaseURLFromString,function,8802
637,buildSites,function,138
17022,Split,function,16924
640,rebuildSites,function,138
8835,github.com/gohugoio/hugo/hugolib/paths/baseURL_test.go,file,8801
8836,TestBaseURL,function,8835
17030,Substr,function,16924
648,fullRebuild,function,138
8842,github.com/gohugoio/hugo/hugolib/paths/paths.go,file,8801
652,newWatcher,function,138
17043,Title,function,16924
17050,ToLower,function,16924
17057,ToUpper,function,16924
8866,Paths,class,8842
8867,New,function,8842
17064,Trim,function,16924
17074,TrimLeft,function,16924
691,dynamicEvents,class,495
692,partitionDynamicEvents,function,495
696,pickOneWriteOrCreatePath,function,495
8889,Lang,function,8866
700,isThemeVsHugoVersionMismatch,function,138
8892,ThemeSet,function,8866
17084,TrimPrefix,function,16924
8895,Themes,function,8866
8898,GetTargetLanguageBasePath,function,8866
8901,GetURLLanguageBasePath,function,8866
17094,TrimRight,function,16924
8904,GetLanguagePrefix,function,8866
714,github.com/gohugoio/hugo/commands/hugo_windows.go,file,77
715,init,function,714
716,github.com/gohugoio/hugo/commands/import_jekyll.go,file,77
8910,GetLangSubDir,function,8866
719,importCmd,class,716
720,newImportCmd,function,716
17104,TrimSuffix,function,16924
8914,AbsPathify,function,8866
724,importFromJekyll,function,719
8918,AbsPathify,function,8842
17114,Repeat,function,16924
8922,github.com/gohugoio/hugo/hugolib/paths/paths_test.go,file,8801
8923,TestNewPaths,function,8922
8930,github.com/gohugoio/hugo/hugolib/paths/themes.go,file,8801
17124,github.com/gohugoio/hugo/tpl/strings/strings_test.go,file,16845
8934,ThemeConfig,class,8930
17126,tstNoStringer,class,17124
17127,TestChomp,function,17124
744,getJekyllDirInfo,function,719
8939,themesCollector,class,8930
8940,isSeen,function,8939
17134,TestContains,function,17124
8945,addAndRecurse,function,8939
17139,TestContainsAny,function,17124
757,retrieveJekyllPostDir,function,719
17144,TestCountRunes,function,17124
8955,add,function,8939
17151,TestRuneCount,function,17124
769,createSiteFromJekyll,function,719
8965,collectThemeNames,function,8930
17158,TestCountWords,function,17124
8969,CollectThemes,function,8930
17165,TestHasPrefix,function,17124
784,loadJekyllConfig,function,719
8979,getConfigFileIfProvided,function,8939
8986,addTemeNamesFromTheme,function,8939
798,createConfigFromJekyll,function,719
8991,github.com/gohugoio/hugo/hugolib/path_separators_test.go,file,4015
8993,TestDegenerateMissingFolderInPageFilename,function,8991
17189,TestSubstr,function,17124
8998,github.com/gohugoio/hugo/hugolib/permalinker.go,file,4015
9003,Permalinker,class,8998
9004,github.com/gohugoio/hugo/hugolib/permalinks.go,file,4015
17197,TestTitle,function,17124
9005,pathPattern,class,9004
814,copyFile,function,716
9006,pageToPermaAttribute,class,9004
9007,PermalinkOverrides,class,9004
17200,TestToLower,function,17124
9010,validate,function,9005
17203,TestToUpper,function,17124
17206,TestTrim,function,17124
824,copyDir,function,716
17209,TestTrimLeft,function,17124
17212,TestTrimPrefix,function,17124
9020,permalinkExpandError,class,9004
9021,Error,function,9020
834,copyJekyllFilesAndFolders,function,719
9026,Expand,function,9005
17219,TestTrimRight,function,17124
17222,TestTrimSuffix,function,17124
9031,github.com/gohugoio/hugo/hugolib/permalinks_test.go,file,4015
9033,TestPermalinkValidation,function,9031
17229,TestRepeat,function,17124
9038,TestPermalinkExpansion,function,9031
17232,github.com/gohugoio/hugo/tpl/strings/truncate.go,file,16845
849,parseJekyllFilename,function,716
17238,htmlTag,class,17232
9046,github.com/gohugoio/hugo/hugolib/prune_resources.go,file,4015
9047,GC,function,4803
17239,Truncate,function,16924
857,convertJekyllPost,function,716
9071,github.com/gohugoio/hugo/hugolib/resource_chain_test.go,file,4015
17263,github.com/gohugoio/hugo/tpl/strings/truncate_test.go,file,16845
9072,TestSCSSWithIncludePaths,function,9071
17264,TestTruncate,function,17263
881,convertJekyllMetaData,function,716
17270,tpl,folder,-1
17271,github.com/gohugoio/hugo/tpl/template.go,file,17270
9082,TestResourceChain,function,9071
17281,TemplateHandler,class,17271
17283,TemplateFinder,class,17271
9092,github.com/gohugoio/hugo/hugolib/robotstxt_test.go,file,4015
902,convertJekyllContent,function,716
9094,TestRobotsTXTOutput,function,9092
17286,Template,class,17271
